id,common_name,common_lat,common_long
214,Market St at Brockhurst St,37.8233214,-122.2757325
215,34th St at Telegraph Ave,37.8225475,-122.2663179
216,San Pablo Ave at 27th St,37.8178269,-122.2756976
217,27th St at MLK Jr Way,37.8170154,-122.2717615
218,DeFremery Park,37.8123315,-122.2851712
219,Marston Campbell Park,37.8098236,-122.2801923
220,San Pablo Ave at MLK Jr Way,37.8113514,-122.2734217
221,E 12th St at 6th Ave,37.7943532,-122.2538745
222,10th Ave at E 15th St,37.7927143,-122.2487796
223,16th St Mission BART Station 2,37.7647652154977,-122.42009103298186
224,21st Ave at International Blvd,37.7851566,-122.2389151
225,23rd Ave at Foothill Blvd,37.7851915,-122.2343822
226,26th Ave at International Blvd,37.781123,-122.2329915
227,Foothill Blvd at Fruitvale Ave,37.7837569,-122.2226033
228,Foothill Blvd at Harrington Ave,37.77993,-122.2177284
229,Foothill Blvd at 42nd Ave,37.7757452,-122.2130372
230,14th St at Mandela Pkwy,37.8107432,-122.2914153
231,14th St at Filbert St,37.80874983465997,-122.28328227996823
232,MLK Jr Way at 14th St,37.8061628,-122.2760402
233,4th Ave at E 12th St (Temporary Location),37.7958125,-122.2555549
234,Fruitvale Ave at International Blvd,37.7776818,-122.225771
235,Union St at 10th St,37.8072393,-122.2893702
236,Market St at 8th St,37.8036865,-122.282497
237,Fruitvale BART Station,37.7752321,-122.2244982
238,MLK Jr Way at University Ave,37.8717192,-122.2730677
239,Bancroft Way at Telegraph Ave,37.8688126,-122.258764
240,Haste St at Telegraph Ave,37.8660431,-122.2588044
241,Ashby BART Station,37.8524766,-122.2702132
242,Milvia St at Derby St,37.86012459911685,-122.2693844139576
243,Bancroft Way at College Ave,37.8693603,-122.2543374
244,Shattuck Ave at Hearst Ave,37.87374820090019,-122.268648147583
245,Downtown Berkeley BART,37.8703477,-122.2677637
246,Berkeley Civic Center,37.8690599,-122.270556
247,Fulton St at Bancroft Way,37.8677892,-122.2658964
248,Telegraph Ave at Ashby Ave,37.8559558,-122.2597949
249,Russell St at College Ave,37.8584732,-122.2532529
250,North Berkeley BART Station,37.8740141,-122.283093
